Issue Type,Summary,Description,Story Points,Parent,Labels
Sub-task,"Tests de reglas y umbrales","Validar activación/desactivación de cada señal.",,"Implementar evaluateSignals (reglas V0)","v2,signals,tests"
Story,"Persistir score + snapshot + recompute gate (1h)","Calcular score final, persistir en v2_health_scores, crear snapshot y aplicar recompute gate de 1 hora.",8,"V2 Pipeline Operativo + Score V0 Productivo","v2,scorev0,p1"
Sub-task,"Implementar fórmula final de score","Aplicar score=clamp(100-suma penalidades, 0..100).",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,formula"
Sub-task,"Persistir health score","Guardar score con run_id y snapshot_id.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,persistence"
Sub-task,"Persistir snapshot auditable","Guardar payload completo de métricas, señales y score.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,snapshot"
Sub-task,"Implementar recompute gate 1h","Si score reciente existe (<1h), retornar persistido; si no, recalcular.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,gate"
Sub-task,"Tests de idempotencia temporal","Cubrir comportamiento dentro/fuera de la ventana de 1h.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,tests"
Story,"Hardening final + documentación operativa","Actualizar evidencia, runbook y checklist de invariantes para evitar drift documental.",3,"V2 Pipeline Operativo + Score V0 Productivo","v2,docs,p2"
Sub-task,"Actualizar evidencia E2E","Agregar resultados finales de la corrida real.",,"Hardening final + documentación operativa","v2,docs,evidence"
Sub-task,"Actualizar runbook si hubo ajustes","Sincronizar comandos/expectativas según implementación final.",,"Hardening final + documentación operativa","v2,docs,runbook"
Sub-task,"Registrar ADR si cambia arquitectura","Documentar decisiones irreversibles o de alto impacto.",,"Hardening final + documentación operativa","v2,docs,adr"
Sub-task,"Publicar checklist post-deploy","Checklist operativo para monitoreo y rollback.",,"Hardening final + documentación operativa","v2,ops,checklist"
